0000 | ILLEGAL OPCODE
00E1 | b'Ready.\n> '
00E2 | b'Ready.\n> '
00E3 | ILLEGAL OPCODE
00E4 | b'*** BREAK INTO MONITOR AT $00E4 ***\nR0=$0059 R1=$0004 R2=$E002 R3=$00E4\nSP=$FEFA [E5004CF216F0000000000000]\nReady.\n> '
00E5 | b'Ready.\n> '
00E6 | ILLEGAL OPCODE
00E7 | b'*** BREAK INTO MONITOR AT $00E7 ***\nR0=$0059 R1=$0007 R2=$E002 R3=$00E7\nSP=$FEFA [E8004CF216F0000000000000]\nReady.\n> '
00E8 | b'Ready.\n> '
00E9 | b'Ready.\n> '
00EA | b'*** BREAK INTO MONITOR AT $00EB ***\nR0=$0053 R1=$000A R2=$E002 R3=$00EA\nSP=$FEFA [EC004CF216F0000000000000]\nReady.\n> '
00EB | b'*** BREAK INTO MONITOR AT $00EB ***\nR0=$0059 R1=$000B R2=$E002 R3=$00EB\nSP=$FEFA [EC004CF216F0000000000000]\nReady.\n> '
00EC | b'Ready.\n> '
00ED | b'Ready.\n> '
00EE | b'Ready.\n> '
00EF | ILLEGAL OPCODE
00F0 | ILLEGAL OPCODE
00F1 | b'Ready.\n> '
00F2 | b'Ready.\n> '
00F3 | ILLEGAL OPCODE
00F4 | ILLEGAL OPCODE
00F5 | b'Ready.\n> '
00F6 | b'Ready.\n> '
00F7 | b'Ready.\n> '
00F8 | b'Ready.\n> '
00F9 | ILLEGAL OPCODE
00FA | b'*** BREAK INTO MONITOR AT $00FA ***\nR0=$0059 R1=$000A R2=$E002 R3=$00FA\nSP=$FEFA [FB004CF216F0000000000000]\nReady.\n> '
00FB | b'Ready.\n> '
00FC | ILLEGAL OPCODE
00FD | ILLEGAL OPCODE
00FE | b'Ready.\n> '
00FF | b'Ready.\n> '
0100 | ILLEGAL OPCODE
0101 | b'*** BREAK INTO MONITOR AT $0101 ***\nR0=$0059 R1=$0001 R2=$E002 R3=$0101\nSP=$FEFA [02014CF216F0000000000000]\nReady.\n> '
0102 | b'Ready.\n> '
0103 | b'Ready.\n> '
0104 | b'Ready.\n> '
0105 | ILLEGAL OPCODE
0106 | ILLEGAL OPCODE
0107 | b'Ready.\n> '
0108 | b'*** BREAK INTO MONITOR AT $0108 ***\nR0=$0059 R1=$0008 R2=$E002 R3=$0108\nSP=$FEFA [09014CF216F0000000000000]\nReady.\n> '
0109 | b'*** BREAK INTO MONITOR AT $0109 ***\nR0=$0059 R1=$0009 R2=$E002 R3=$0109\nSP=$FEFA [0A014CF216F0000000000000]\nReady.\n> '
010A | b'*** BREAK INTO MONITOR AT $010A ***\nR0=$0059 R1=$000A R2=$E002 R3=$010A\nSP=$FEFA [0B014CF216F0000000000000]\nReady.\n> '
010B | Timed out, infinite loop?
010C | Timed out, infinite loop?
010D | Timed out, infinite loop?
010E | ILLEGAL OPCODE
010F | Timed out, infinite loop?
0110 | Timed out, infinite loop?
