0000 | ILLEGAL OPCODE
0062 | b'FF00*** BREAK INTO MONITOR AT $100F ***\nR0=$FF00 R1=$0000 R2=$0002 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0063 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0064 | b'*** BREAK INTO MONITOR AT $0064 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [65000F104CF216F000000000]\nReady.\n> '
0065 | b'*** BREAK INTO MONITOR AT $0068 ***\nR0=$409A R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [69000F104CF216F000000000]\nReady.\n> '
0066 | b'FFFF*** BREAK INTO MONITOR AT $100F ***\nR0=$FFFF R1=$0000 R2=$0002 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0067 | b'*** BREAK INTO MONITOR AT $0068 ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [69000F104CF216F000000000]\nReady.\n> '
0068 | b'*** BREAK INTO MONITOR AT $0068 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [69000F104CF216F000000000]\nReady.\n> '
0069 | b'FFFF*** BREAK INTO MONITOR AT $100F ***\nR0=$FFFF R1=$0000 R2=$0002 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
006A | b'0000*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0002 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
006B | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
006C | b'*** BREAK INTO MONITOR AT $006C ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [6D000F104CF216F000000000]\nReady.\n> '
006D | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0002 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
006E | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
006F | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0070 | b'*** BREAK INTO MONITOR AT $0071 ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [72000F104CF216F000000000]\nReady.\n> '
0071 | b'*** BREAK INTO MONITOR AT $0071 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [72000F104CF216F000000000]\nReady.\n> '
0072 | b'00*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0003 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0073 | b'00*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0002 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0074 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0075 | b'*** BREAK INTO MONITOR AT $0075 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [76000F104CF216F000000000]\nReady.\n> '
0076 | b'*** BREAK INTO MONITOR AT $0079 ***\nR0=$409A R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [7A000F104CF216F000000000]\nReady.\n> '
0077 | b'FF*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0002 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0078 | b'*** BREAK INTO MONITOR AT $0079 ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [7A000F104CF216F000000000]\nReady.\n> '
0079 | b'*** BREAK INTO MONITOR AT $0079 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [7A000F104CF216F000000000]\nReady.\n> '
